oferta,precio,mts,bathrooms,recamaras,lat,lon,fuente,fecha_consulta,precio_m2
modelo garza en venta luxurious home for sale,2300000.0,128.0,,3.0,31.9031255,-116.5851671,easyaviso,2025-09-27 22:24:19.403530,17968.75
gran oportunidad hermosa casa en andarez residencial ensenada b.c.,3470000.0,,,3.0,31.788831,-116.5886097,easyaviso,2025-09-27 22:24:19.403530,
CASA EN VENTA   San Carlos Ensenada,6200000.0,433.3,4.0,3.0,31.8012546973,-116.5931953244,easyaviso,2025-09-27 22:24:19.403530,14308.792984075697
SE VENDE CASA EN PRIVADA CON CASETA,12720690.0,88.0,3.0,3.0,31.7256595,-116.6493702,easyaviso,2025-09-27 22:24:19.403530,144553.29545454544
Casa de 3 Recamaras Frac Siena Residencial,1100000.0,625.0,,,31.6946973,-116.494513,easyaviso,2025-09-27 22:24:19.403530,1760.0
casa 1 nivel amplio patio en col. escritores,3300000.0,162.0,2.0,3.0,31.8379491,-116.6002074,easyaviso,2025-09-27 22:24:19.403530,20370.37037037037
casa en venta en ensenada baja california,4900000.0,277.0,3.0,6.0,31.7895825,-116.5888077,easyaviso,2025-09-27 22:24:19.403530,17689.530685920578
se vende bonita propiedad en ejido el pipila ensenada bc camino hacia vinedos,4600000.0,229.0,3.0,3.0,31.7848467,-116.6041519,easyaviso,2025-09-27 22:24:19.403530,20087.336244541486
oportunidad de inversion propiedad  en valle dorado 3300000.00,790000.0,42.47,,2.0,31.8643071,-116.5491505,easyaviso,2025-09-27 22:24:19.403530,18601.365669884624
casa de 1 planta col. obrera calle octava 1738 7500000.00,3676500.0,140.0,,2.0,31.8230919504,-116.6020177188,easyaviso,2025-09-27 22:24:19.403530,26260.714285714286
casa en venta en solana residencial,4500000.0,149.0,3.0,3.0,31.8808489955,-116.6266569358,easyaviso,2025-09-27 22:24:19.403530,30201.342281879195
gran oportunidad en preventa,1500000.0,,,2.0,31.8537021,-116.6077392,easyaviso,2025-09-27 22:24:19.403530,
se vende casa,9000000.0,309.0,4.0,4.0,31.8244013,-116.6044824,easyaviso,2025-09-27 22:24:19.403530,29126.21359223301
se vende casa,27573750.0,505.0,13.0,8.0,31.9991885,-116.6616751,easyaviso,2025-09-27 22:24:19.403530,54601.485148514854
casa en venta,514710.0,140.0,,,32.0579982,-116.8785343,easyaviso,2025-09-27 22:24:19.403530,3676.5
hermosa casa en venta en loma dorada ensenadab.c.,3500000.0,144.0,2.0,3.0,31.8735162544,-116.6619676119,easyaviso,2025-09-27 22:24:19.403530,24305.555555555555
casa en venta ubicada en valle de guadalupe,18500000.0,465.0,2.0,3.0,31.9911625047,-116.6256319637,easyaviso,2025-09-27 22:24:19.403530,39784.94623655914
venta de casas en pedregal playitas,4100000.0,151.0,3.0,3.0,31.7895843,-116.6069555,easyaviso,2025-09-27 22:24:19.403530,27152.3178807947
casa en venta con produccion de uva  valle de guadalupe,18500000.0,465.0,2.0,3.0,31.9911731501,-116.6257930635,easyaviso,2025-09-27 22:24:19.403530,39784.94623655914
casa en venta,1599277.5,254.53,,,32.0536219791,-116.8786384492,easyaviso,2025-09-27 22:24:19.403530,6283.257376340706
rancho en venta con produccion de uva  valle de guadalupe,9300000.0,190.0,3.0,4.0,31.8895009942,-116.678709921,easyaviso,2025-09-27 22:24:19.403530,48947.36842105263
casa en venta,2389725.0,130.0,,,32.0304940986,-116.6392769507,easyaviso,2025-09-27 22:24:19.403530,18382.5
casa nueva fracc. privado colinas del sauzal,1400000.0,300.0,,,31.8867419,-116.6171302,easyaviso,2025-09-27 22:24:19.403530,4666.666666666667
2500 m2 en tierra santa en valle de guadalup,2200000.0,146.0,2.0,3.0,31.8690615,-116.5801536,easyaviso,2025-09-27 22:24:19.403530,15068.493150684932
1206 m a un costado de el cielo dentro de privada en valle de guadalupe,1770000.0,73.0,2.0,2.0,31.8898644,-116.5650765,easyaviso,2025-09-27 22:24:19.403530,24246.575342465752
casa en venta en marquez de leon ensenada,8100000.0,,3.0,3.0,31.8332469,-116.5981561,easyaviso,2025-09-27 22:24:19.403530,
departamento en venta en torre barlovento,6893437.5,135.0,3.0,3.0,31.7604917,-116.5381358,easyaviso,2025-09-27 22:24:19.403530,51062.5
casa en venta en el sauzal,2887780.455,369.63,,,31.8716647,-116.6765119,easyaviso,2025-09-27 22:24:19.403530,7812.624665205746
casa san carlos en venta,1286775.0,221.0,,,31.7669741,-116.5201237,easyaviso,2025-09-27 22:24:19.403530,5822.511312217194
residencia de lujo exclusiva en la marina ensenada  area la salina,3850000.0,190.0,2.0,3.0,31.87994,-116.6470766,easyaviso,2025-09-27 22:24:19.403530,20263.157894736843
amplia casa  en villa fontana ens b.c. a 15 minutos de la zona turistica,7353000.0,220.0,2.0,3.0,16.1795331325,-95.1617226538,easyaviso,2025-09-27 22:24:19.403530,33422.72727272727
casa 91  isla,2600000.0,,,2.0,31.8585963,-116.6235229,easyaviso,2025-09-27 22:24:19.403530,
casa sin muebles de 3 recamaras  y patio,1470600.0,0.0,,,32.0756669,-116.6243396,easyaviso,2025-09-27 22:24:19.403530,inf
casa de 2 niveles centrica,8188411.095,232.0,3.0,3.0,31.8951953,-116.563151,easyaviso,2025-09-27 22:24:19.403530,35294.87540948276
casa en venta en villa fontana ensenada baja california,7377687.6975,172.0,2.0,2.0,31.8951953,-116.563151,easyaviso,2025-09-27 22:24:19.403530,42893.533125
casas en venta punta piedra seccion mision ensenada b.c.,16176600.0,850.0,6.0,5.0,31.8785064,-116.6288364,easyaviso,2025-09-27 22:24:19.403530,19031.29411764706
