oferta,precio,mts,recamaras,bathrooms,lat,lon,fecha_consulta,fuente,precio_m2
casa en  calle de las sirenas 235 playa ensenada ensenada baja california 22880 mex,6200000.0,199.0,3,2,31.852749,-116.612501,2025-09-27 23:03:14.104353,icasas,31155.77889447236
casa en  calle colinas de bahia sur 377 centro comercial del mar el sauzal de rodriguez ensenada baja california 22760 mex,5850000.0,176.0,3,2,31.889222,-116.680925,2025-09-27 23:03:14.104353,icasas,33238.63636363636
casa en  calle colinas de bahia sur 377 el sauzal de rodriguez ensenada baja california 22760 mex,8263710.0,305.0,4,3,31.889222,-116.680925,2025-09-27 23:03:14.104353,icasas,27094.131147540982
casa en  calle colinas de los pelicanos 509562 colinas del mar residencial el sauzal de rodriguez ensenada baja california 22760 mex,5100000.0,126.0,4,3,31.887599,-116.682622,2025-09-27 23:03:14.104353,icasas,40476.19047619047
casa en  calle septima zona centro ensenada baja california 22800 mex,16343782.0,430.0,4,2,31.868705,-116.622907,2025-09-27 23:03:14.104353,icasas,38008.79534883721
casa en  cibolas del mar san miguel baja california mexico,15609230.0,,4,3,31.90688849999999,-116.724453,2025-09-27 23:03:14.104353,icasas,
casa en  lomas del sauzal ensenada,5310000.0,118.0,2,2,31.8892222,-116.6809248,2025-09-27 23:03:14.104353,icasas,45000.0
casa en  calle toledo 403440 ampliacion chapultepec ensenada baja california 22870 mex,7700000.0,363.0,4,4,31.868214,-116.636197,2025-09-27 23:03:14.104353,icasas,21212.121212121212
casa en  camino san javier villas cibolas del mar san miguel ensenada baja california 22760 mex,12100000.0,226.0,3,2,31.904849,-116.724811,2025-09-27 23:03:14.104353,icasas,53539.823008849555
casa en  privada d 8 granjas el gallo ensenada baja california 22850 mex,3300000.0,160.0,3,2,31.861321,-116.572064,2025-09-27 23:03:14.104353,icasas,20625.0
casa en  calle bahia los angeles lomas del sauzal el sauzal de rodriguez ensenada baja california 22760 mex,6200200.0,390.0,3,3,31.900441,-116.690081,2025-09-27 23:03:14.104353,icasas,15897.948717948719
casa en  calle ondinas 117 playa ensenada ensenada baja california 22880 mex,4500000.0,173.0,3,2,31.853485,-116.614608,2025-09-27 23:03:14.104353,icasas,26011.56069364162
casa en  privada las rosas 216 el sauzal de rodriguez ensenada baja california 22760 mex,10467366.0,375.0,4,3,31.871485,-116.677745,2025-09-27 23:03:14.104353,icasas,27912.976
casa en  calle marina san diego 149191 real de san marino ensenada baja california 22860 mex,20342995.27,605.0,6,3,31.868939,-116.656305,2025-09-27 23:03:14.104353,icasas,33624.785570247936
casa en  camino colonias de la bahia s colinas del mar cuatro milpas ensenada baja california 22767 mex,5800000.0,135.0,3,2,31.890549,-116.680319,2025-09-27 23:03:14.104353,icasas,42962.96296296296
casa en  valle dorado ensenada,5200000.0,387.0,6,2,31.8340532,-116.594897,2025-09-27 23:03:14.104353,icasas,13436.692506459949
casa en  pedregal playitas ensenada,7345520.0,450.0,5,4,31.87349298,-116.66171745,2025-09-27 23:03:14.104353,icasas,16323.377777777778
casa en  natal puerta ensenada baja california mexico,8777896.4,,3,2,31.9933043,-116.7477757,2025-09-27 23:03:14.104353,icasas,
casa en  calle colinas del puerto el sauzal de rodriguez ensenada baja california 22760 mex,5000000.0,135.0,3,2,31.889975,-116.680319,2025-09-27 23:03:14.104353,icasas,37037.03703703704
casa en  bahia vizcaino 541 mw moderna oeste ensenada baja california mexico,7700000.0,352.0,3,2,31.8699372,-116.6483464,2025-09-27 23:03:14.104353,icasas,21875.0
casa en  exejido chapultepec ensenada baja california mexico,4230000.0,131.0,3,3,31.7833481,-116.5764676,2025-09-27 23:03:14.104353,icasas,32290.076335877864
casa en  pedregal playitas ensenada,6500000.0,,5,3,31.8716343,-116.6627045,2025-09-27 23:03:14.104353,icasas,
casa en  avenida ryerson 221 zona centro ensenada baja california 22800 mex,22954750.0,501.0,5,,31.867009,-116.629682,2025-09-27 23:03:14.104353,icasas,45817.86427145709
departamento en  quintas papagayo ensenada,12671022.0,,3,2,31.863916,-116.657075,2025-09-27 23:03:14.104353,icasas,
departamento en  chapultepec ensenada,2700000.0,,3,2,31.8123837,-116.5865391,2025-09-27 23:03:14.104353,icasas,
departamento en  avenida cuauhtemoc 2110 hidalgo ensenada baja california 22880 mex,3580941.0,213.0,,,31.855977,-116.583891,2025-09-27 23:03:14.104353,icasas,16811.929577464787
departamento en  calle tampico 220278 acapulco ensenada baja california 22890 mex,3933000.0,122.0,2,2,31.836332,-116.608286,2025-09-27 23:03:14.104353,icasas,32237.70491803279
casa en  moderna ensenada,6500000.0,352.0,3,3,31.8707,-116.643,2025-09-27 23:03:14.104353,icasas,18465.909090909092
casa en  playa hermosa ensenada,7737000.0,345.0,5,3,31.82402704,-116.60514843,2025-09-27 23:03:14.104353,icasas,22426.08695652174
casa en  villas del mar baja california mexico,3300000.0,,3,1,31.7007709,-116.5451341,2025-09-27 23:03:14.104353,icasas,
casa en  ensenada centro ensenada,14750000.0,370.0,3,4,31.658379,-116.51944,2025-09-27 23:03:14.104353,icasas,39864.86486486487
casa en  22760 ensenada baja california mex,4950000.0,137.0,3,4,31.91848811,-116.6910037,2025-09-27 23:03:14.104353,icasas,36131.38686131387
casa en  de las sirenas 296 playa ensenada ensenada baja california mexico,21852922.0,682.0,6,7,31.8532436,-116.6115514,2025-09-27 23:03:14.104353,icasas,32042.40762463343
casa en  paris 663 ampliacion moderna ensenada baja california mexico,5858052.2,284.0,5,4,31.8689201,-116.641132,2025-09-27 23:03:14.104353,icasas,20626.944366197185
casa en  la mision ensenada,8171891.0,190.0,3,2,32.0683582,-116.6563926,2025-09-27 23:03:14.104353,icasas,43009.95263157895
